,News,Category
18340,"Anna Hazare's Lokpal agitation was a joke, only Modi and Kejriwal are laughing.Modi and the BJP shot from the shoulders of Kejriwal-Hazare, blissfully overcoming serious corruption charges.",politics
4541,"Lesson for Dhoni 'fans': Don't kick heroes when they're down.A series win against the Proteas now will be a slap in the face of those who think MSD, the finisher, is finished.",sports
669,Sahir Ludhianvi's many tributes to women.He gave us the most defining verses about their emotions.,Arts
1556,Reliance Jio is making telecom rivals miserable.It is a potential game-changer that could fuel an all-out price war in a market of 950-odd million mobile subscribers in India.,business
3788,"Goodbye Internet Explorer, we won't miss you.It has become clear even within Microsoft that the browser is beyond redemption.",tech
206,"How to be an actor in a Netflix-Amazon age of openness.Ever wonder how do we do it? Well, let me tell you a secret then...",Arts
4845,"Cricket World Cup: Why team India will ensure #wewontgiveitback.Do the Men in Blue have it in them to go all the way? Yes, they do.",sports
1096,"How an empowered rural economy forms the bedrock of the Modi govt's long-term strategies for 2022.Modi govt has invested tremendous transformative projects in rural India, from water conservation to soil testing, etc. The results include bumper production to once water-dry areas like Latur, now not needing even a water tanker!",business
1916,"Oscars 2019: 5 times we laughed and cried.From Trump's hair to Jason Momoa's hair band, here's how the Oscar showcased its crazier side!",humour
1100,"NYAY I.: It's good economics and in keeping with new global thinking on growth and inequality.Economists' ideas on growth are changing, with the IMF finding trickle-down economics doesn't work. Schemes that improve income of the poor, like Congress' NYAY, are thus a good step.",business
1645,Excess cash in your pockets is affecting Indian economy.There is also a substantial shadow economy estimated at 70 per cent of the GDP.,business
871,An Indian woman traveller's journey to the enchanting Deoria Taal of Garhwal Himalayas.[Book excerpt]  Where the gods would come down to bathe.,Arts
3393,"Android Oreo update can make your smartphone way smarter.Your phone will have improved battery life, picture-in-picture mode, better audio and more.",tech
1230,"Now Rotomac's Rs 3,695 crore scam: Will banks write off Vikram Kothari's assets?.Company proprietor took loans from seven different banks.",business
18648,"Rohtak incident was another Nirbhaya in the making.It was not late at night, the bus was full and the only thing co-passengers did was to cringe, smirk, or look away.",politics
810,"In custody of Shashi Kapoor — the man who was more than 'Mere paas maa hai'.The actor's death left me wanting to reconnect with the cinema he was associated with, and how impactful one of those had turned out to be for me.",Arts
4830,"India versus Pakistan: Why the jubilation at defeating a “foe” you pooh-pooh?.Why such an ungentlemanly show of joy if the rival is Pakistan, the country you consider of no consequence?",sports
1405,"Jio is no longer free, but Dhan Dhana Dhan offer still up for grabs.There indeed is such a thing as free lunch, but for a limited period only.",business
3541,Your wait for the iPhone 8 will come to an end sooner than you thought.A brand-new iPhone 7 and 7 Plus in an exclusive red colour scheme may also be revealed.,tech
4037,U-19 World Cup.BCCI To Announce Cash Award For Rahul Dravid's Team,sports
554,How psychedelic drugs made a comeback.The wonder drug of 1960s is back in vogue.,Arts
4844,Cricket World Cup 2015: No method in madness of India-Pakistan face-off.There would be a ghostly silence on the roads on February 15 in Pakistan and India.,sports
1236,"Here comes the deglobalisation of Indian financial market.BSE, NSE and MSEI have decided to to stop trading of their indices on foreign bourses.",business
1481,"Half-term report card on Modi government's economic progress.Yes, demonetisation will leave an impact.",business
2103,"[Exclusive] Bajrang Dal activists partying hard to ring in new year.Then why stop others? Hypocrisy, eh?",humour
3218,Vu Android TV vs Xiaomi Mi TV 4A: Which smart TV should you buy?.The two TV makers are looking to gain control over the TV market in India with their new lineups.,tech
3293,"Top 5 video games of 2017 worth dying for.Let's take you through the blood, sweat, horrors and the heartbreak of the 'bloodthirsty' games.",tech
3729,"Why I'll buy iPhone 6S Plus.In a bid to get the taste of the big screen experience, I'll invest in Apple's new smartphone model.",tech
2835,The day RK Laxman bid the common man goodbye.Our cartoonist sketches the landscape of Indian politics with his wicked pen.,humour
1228,Modi government must accept blame for Nirav-Choksi bank scam.It's no longer enough to blame corrupt UPA-era holdovers or the Lutyens' ecosystem for today's frauds.,business
18235,"Four simple signs Kiran Bedi is afraid of Kejriwal.Will the former top cop chase down the ""anarchist""?",politics
4077,FIFA U-17 World Cup: Delhi put its worst foot forward - credit goes to PM Modi.Having the games in Delhi made it easier for the PM to attend the match. And this is what messed it all up.,sports
1954,"Ande Ka Funda: Why ‘Tinde’ will never beat the humble ‘Egg’ that's rocking Instagram.Dear Tinde, you’ve made it to our lunch boxes, but despite Chetan Bhagat's nationalistic endorsement, you will not make it through our Instagram filters!",humour
4137,#IndVsPak final: Why Pakistan fears India's batting and Kohli's leadership.Team India captain's monk-like serenity has helped and the master batsman has struck form.,sports
18449,"Why is Modi allowing RSS and others to steal his limelight?.Six months in power and well into the honeymoon phase of his politics, this is the PM's first moment of truth.",politics
18271,"The US strategy for world domination in the 21st century.In the coming decades and beyond, the world is likely to witness prodigious bloodshed as the US agenda of world domination continues to unfold.",politics
865,Why Salman Khan and 'Tiger Zinda Hai' lot will secretly be happy at Padmavati's plight.Postponing the release date of Padmavati will not be a good idea in this age of piracy.,Arts
2961,"Mosquito Not? Have scientists created a venomous GM fungus that can kill 99% malaria mosquitoes, but without harming us?.Scientists develop a genetically-modified fungus that wipes out malaria vector mosquitoes with 99% efficiency. But what could be its other effects?",tech
1949,"Why we love NaMo T-shirts, Kim thongs and shirtless Putin calendars.Political merchandise is spreading worldwide like a hot rash! And it's often women who are credited for the rising popularity of male politicians on calendars, cups, even thongs!",humour
19051,"Our lady at home, the corporator bahu.The in-betweens of being a woman corporator in Uttar Pradesh.",politics
4289,"If you enjoyed watching Olympics, World Nomad Games will blow your mind.Teams from 40 countries, including India, are competing at the sporting extravaganza being held at Kyrgyzstan from September 3 to 8.",sports
2503,What an autorickshaw wala can teach you about Digital India and more.The price of pulses is what the cost of private school fees was in my time.,humour
1962,"Pakistan elects the gulab jamun as its national sweet: Here's why we're not biting into this entirely.How can Pakistan even claim the gulab jamun? It was reputedly discovered by the chefs of Shah Jahan. Who was, of course, the Emperor of India, and not Pakistan.",humour
